,price,bedrooms,living_area,landplot,facades,pool,building_state_as new,building_state_good,building_state_just renovated,building_state_to be done up,building_state_to renovate,province_Antwerpen,province_Brabant wallon,province_Brussels Hoofdstedelijk Gewest,province_Liège,province_Luxembourg,province_Namur,province_Oost-Vlaanderen,province_Vlaams-Brabant,zip_10,zip_11,zip_12,zip_14,zip_17,zip_18,zip_19,zip_20,zip_21,zip_26,zip_28,zip_30,zip_32,zip_40,zip_41,zip_43,zip_44,zip_45,zip_46,zip_49,zip_50,zip_67,zip_90,zip_92,zip_93,zip_94,zip_95,zip_96,zip_99,subtype_apartment,subtype_apartment block,subtype_bungalow,subtype_duplex,subtype_flat studio,subtype_ground floor,subtype_house,subtype_mansion,subtype_mixed use building,subtype_penthouse,subtype_town house,subtype_villa
43,579000,4,225,1103.0,4.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,350000,3,214,0.0,2.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,239000,2,100,0.0,2.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,249000,1,95,149.0,2.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
47,164000,4,167,90.0,3.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
48,265000,1,63,0.0,2.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,144000,2,105,105.0,2.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50,167500,1,54,0.0,2.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,199000,3,133,583.0,2.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52,385000,7,350,1199.0,4.0,0.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
